order_id,customer_id,order_date,channel,category,price,discount,is_returned,days_to_return,return_date
1,1,2024-11-28,Online,Dresses,80.15,0,1,20,2024-12-18
2,1,2024-09-17,Online,Tops,48.33,10,1,7,2024-09-24
3,1,2024-03-24,Online,Dresses,10.52,0,0,,
4,1,2024-02-07,Online,Shoes,30.27,10,1,25,2024-03-03
5,2,2024-08-23,Online,Dresses,148.86,20,0,,
6,2,2024-03-16,Online,Dresses,150.81,0,0,,
7,2,2024-11-15,Store,Accessories,161.1,0,0,,
8,2,2024-10-12,Store,Dresses,164.77,10,0,,
9,3,2024-03-02,Online,Dresses,121.78,10,0,,
10,3,2024-11-23,Online,Shoes,180.94,10,0,,
11,4,2024-01-23,Online,Dresses,54.12,10,1,20,2024-02-12
12,5,2024-11-04,Store,Accessories,113.14,0,1,5,2024-11-09
13,5,2024-03-07,Online,Tops,141.81,0,0,,
14,6,2024-10-15,Online,Accessories,118.9,20,0,,
15,6,2024-04-06,Store,Accessories,151.35,0,0,,
16,6,2024-03-26,Store,Dresses,176.59,0,0,,
17,6,2024-10-20,Online,Accessories,170.83,0,0,,
18,6,2024-07-02,Online,Tops,38.48,0,0,,
19,7,2024-06-21,Store,Accessories,123.7,0,0,,
20,7,2024-10-08,Online,Dresses,167.09,20,0,,
21,7,2024-12-25,Online,Tops,90.48,0,0,,
22,7,2024-12-28,Online,Dresses,36.43,0,0,,
23,8,2024-04-20,Store,Accessories,187.1,0,0,,
24,9,2024-05-12,Store,Tops,133.76,10,0,,
25,9,2024-10-13,Online,Shoes,24.69,0,0,,
26,9,2024-10-23,Store,Accessories,33.33,0,0,,
27,9,2024-12-11,Store,Shoes,169.12,0,0,,
28,10,2024-05-28,Online,Dresses,73.69,10,0,,
29,10,2024-04-26,Online,Accessories,85.65,0,1,5,2024-05-01
30,10,2024-03-15,Store,Accessories,75.92,10,0,,
31,11,2024-05-07,Online,Tops,183.42,0,1,19,2024-05-26
32,12,2024-06-28,Online,Tops,69.18,10,0,,
33,13,2024-05-29,Online,Shoes,136.07,0,1,17,2024-06-15
34,13,2024-03-24,Online,Tops,88.78,0,0,,
35,13,2024-07-07,Online,Accessories,123.12,0,0,,
36,14,2024-07-29,Online,Shoes,46.23,0,1,25,2024-08-23
37,14,2024-10-12,Store,Accessories,22.48,10,0,,
38,14,2024-06-23,Online,Shoes,93.74,0,1,8,2024-07-01
39,15,2024-11-14,Online,Tops,173.74,20,1,18,2024-12-02
40,15,2024-10-14,Online,Accessories,132.36,0,0,,
41,15,2024-03-27,Store,Tops,146.03,10,1,19,2024-04-15
42,16,2024-11-08,Online,Tops,47.26,0,0,,
43,17,2024-08-26,Online,Accessories,134.02,0,1,2,2024-08-28
44,18,2024-10-17,Online,Shoes,124.61,10,0,,
45,18,2024-06-13,Online,Shoes,65.7,10,0,,
46,19,2024-09-19,Store,Dresses,15.04,0,0,,
47,19,2024-02-05,Online,Shoes,179.61,10,0,,
48,20,2024-01-11,Online,Shoes,78.98,0,0,,
49,20,2024-01-20,Online,Shoes,157.03,0,0,,
50,20,2024-02-22,Online,Tops,195.16,10,0,,
51,20,2024-03-21,Store,Tops,197.22,0,1,7,2024-03-28
52,21,2024-04-24,Online,Dresses,112.91,10,0,,
53,22,2024-09-02,Online,Shoes,197.04,0,1,16,2024-09-18
54,23,2024-04-07,Online,Accessories,166.29,0,1,19,2024-04-26
55,23,2024-02-11,Online,Shoes,22.76,0,0,,
56,23,2024-03-16,Online,Shoes,36.6,0,0,,
57,23,2024-10-13,Store,Tops,57.64,10,0,,
58,23,2024-11-04,Online,Dresses,169.24,0,0,,
59,24,2024-02-15,Online,Tops,192.14,0,1,26,2024-03-12
60,24,2024-06-29,Online,Shoes,22.97,10,1,20,2024-07-19
61,25,2024-06-12,Store,Accessories,125.98,20,1,10,2024-06-22
62,25,2024-02-24,Online,Shoes,35.65,0,0,,
63,25,2024-09-06,Online,Tops,40.78,10,0,,
64,26,2024-12-30,Online,Dresses,156.47,0,1,11,2025-01-10
65,27,2024-10-22,Store,Dresses,143.94,0,0,,
66,28,2024-02-08,Online,Shoes,161.89,10,0,,
67,29,2024-01-12,Online,Tops,163.41,20,0,,
68,29,2024-01-17,Store,Accessories,109.05,0,0,,
69,30,2024-09-20,Online,Dresses,135.17,10,0,,
70,30,2024-07-16,Store,Shoes,102.99,0,0,,
71,30,2024-12-30,Online,Tops,144.06,20,1,26,2025-01-25
72,31,2024-03-26,Store,Shoes,32.9,10,1,3,2024-03-29
73,31,2024-06-24,Online,Accessories,189.41,0,1,3,2024-06-27
74,32,2024-04-12,Online,Accessories,79.29,0,0,,
75,32,2024-10-27,Online,Dresses,110.75,0,0,,
76,32,2024-12-29,Online,Tops,112.5,10,0,,
77,32,2024-07-28,Online,Dresses,127.01,0,1,20,2024-08-17
78,33,2024-06-18,Store,Accessories,176.19,0,0,,
79,33,2024-04-05,Store,Accessories,11.8,0,0,,
80,33,2024-11-13,Online,Dresses,120.34,0,0,,
81,34,2024-09-22,Online,Accessories,90.06,10,0,,
82,35,2024-01-03,Online,Tops,64.58,0,0,,
83,36,2024-06-01,Online,Dresses,197.67,0,1,19,2024-06-20
84,36,2024-10-31,Online,Tops,51.47,20,1,7,2024-11-07
85,36,2024-03-01,Online,Tops,89.34,10,1,11,2024-03-12
86,36,2024-10-28,Online,Shoes,126.55,0,0,,
87,36,2024-02-21,Online,Tops,189.12,10,1,4,2024-02-25
88,37,2024-08-30,Online,Shoes,18.92,0,0,,
89,37,2024-08-28,Store,Tops,76.52,0,0,,
90,37,2024-02-16,Online,Dresses,186.27,20,1,5,2024-02-21
91,37,2024-03-01,Online,Accessories,154.07,10,0,,
92,37,2024-08-03,Store,Accessories,52.64,0,0,,
93,38,2024-11-24,Store,Dresses,27.38,10,0,,
94,39,2024-05-02,Online,Dresses,18.43,10,0,,
95,39,2024-06-18,Store,Tops,187.0,10,1,15,2024-07-03
96,39,2024-08-13,Online,Accessories,10.97,10,0,,
97,40,2024-02-06,Online,Dresses,179.95,20,0,,
98,40,2024-04-23,Online,Tops,108.06,20,0,,
99,41,2024-02-25,Online,Tops,117.49,0,0,,
100,41,2024-09-18,Online,Tops,135.11,10,1,22,2024-10-10
101,41,2024-02-28,Online,Dresses,169.03,10,0,,
102,42,2024-12-21,Online,Shoes,45.95,10,1,26,2025-01-16
103,42,2024-02-14,Store,Accessories,177.02,0,0,,
104,43,2024-06-06,Store,Shoes,165.41,10,1,5,2024-06-11
105,43,2024-01-12,Online,Tops,25.98,0,1,22,2024-02-03
106,43,2024-08-20,Online,Accessories,81.57,0,0,,
107,44,2024-06-11,Online,Accessories,154.6,0,1,6,2024-06-17
108,44,2024-08-11,Store,Tops,130.2,20,0,,
109,44,2024-10-04,Store,Tops,156.46,20,0,,
110,44,2024-07-10,Store,Shoes,144.63,0,0,,
111,44,2024-01-22,Online,Accessories,171.96,20,0,,
112,45,2024-07-22,Store,Accessories,122.94,0,0,,
113,45,2024-01-29,Online,Shoes,80.65,10,0,,
114,45,2024-02-27,Online,Shoes,61.99,20,0,,
115,45,2024-04-08,Online,Accessories,110.13,10,1,21,2024-04-29
116,45,2024-03-15,Online,Shoes,156.84,0,0,,
117,46,2024-01-27,Store,Shoes,38.7,0,0,,
118,46,2024-01-21,Store,Dresses,131.32,0,1,21,2024-02-11
119,46,2024-09-13,Online,Shoes,53.69,0,1,6,2024-09-19
120,47,2024-10-07,Store,Shoes,174.23,0,0,,
121,48,2024-05-24,Online,Tops,156.48,10,0,,
122,48,2024-07-17,Online,Tops,65.89,20,0,,
123,48,2024-02-15,Online,Shoes,32.29,0,0,,
124,48,2024-08-23,Online,Dresses,48.1,0,0,,
125,49,2024-04-26,Online,Tops,68.97,0,0,,
126,49,2024-03-12,Online,Shoes,84.57,0,0,,
127,49,2024-04-04,Store,Accessories,142.05,10,0,,
128,49,2024-04-11,Store,Accessories,101.3,0,0,,
129,49,2024-03-16,Store,Tops,13.49,0,0,,
130,50,2024-05-27,Online,Tops,11.86,0,0,,
131,50,2024-01-02,Online,Dresses,76.62,0,0,,
132,50,2024-04-25,Online,Accessories,35.22,0,0,,
133,50,2024-06-22,Online,Accessories,48.03,0,1,27,2024-07-19
134,51,2024-12-25,Online,Accessories,180.28,0,1,15,2025-01-09
135,52,2024-12-24,Online,Dresses,144.72,10,0,,
136,53,2024-12-13,Store,Shoes,126.33,0,0,,
137,53,2024-03-24,Online,Shoes,165.29,0,0,,
138,54,2024-05-06,Online,Shoes,93.34,10,0,,
139,54,2024-01-12,Online,Dresses,101.06,10,1,17,2024-01-29
140,54,2024-05-26,Store,Tops,151.41,10,1,26,2024-06-21
141,55,2024-07-01,Online,Tops,115.52,10,1,5,2024-07-06
142,55,2024-05-29,Online,Tops,195.21,10,1,20,2024-06-18
143,55,2024-07-20,Online,Dresses,23.72,0,0,,
144,55,2024-12-18,Store,Dresses,174.97,10,0,,
145,55,2024-01-24,Online,Tops,149.72,10,0,,
146,56,2024-05-31,Online,Accessories,119.95,0,0,,
147,56,2024-04-26,Online,Tops,175.95,20,0,,
148,56,2024-09-18,Online,Accessories,122.55,20,0,,
149,56,2024-09-24,Online,Shoes,130.0,10,0,,
150,57,2024-10-08,Store,Tops,124.35,10,0,,
151,57,2024-01-14,Store,Accessories,88.48,0,1,3,2024-01-17
152,57,2024-02-10,Online,Tops,86.95,0,1,19,2024-02-29
153,58,2024-03-24,Online,Shoes,133.9,0,1,5,2024-03-29
154,59,2024-03-06,Store,Dresses,71.79,10,1,7,2024-03-13
155,59,2024-06-12,Store,Accessories,54.59,10,0,,
156,59,2024-04-27,Online,Shoes,95.27,10,1,27,2024-05-24
157,59,2024-12-26,Online,Tops,121.7,20,0,,
158,60,2024-03-04,Online,Tops,16.97,10,0,,
159,61,2024-07-22,Online,Dresses,144.02,0,0,,
160,61,2024-07-25,Online,Accessories,31.26,0,0,,
161,61,2024-05-09,Online,Dresses,187.96,0,1,7,2024-05-16
162,61,2024-04-28,Online,Dresses,187.44,0,0,,
163,61,2024-06-27,Online,Shoes,85.5,0,1,6,2024-07-03
164,62,2024-10-25,Online,Dresses,131.43,10,0,,
165,62,2024-08-10,Online,Accessories,102.88,10,0,,
166,62,2024-12-05,Online,Shoes,68.51,10,0,,
167,63,2024-01-08,Store,Dresses,148.86,0,0,,
168,63,2024-12-23,Store,Shoes,58.51,10,0,,
169,64,2024-04-23,Online,Shoes,175.09,0,1,19,2024-05-12
170,64,2024-03-16,Online,Dresses,141.01,10,1,19,2024-04-04
171,65,2024-10-13,Online,Dresses,136.72,0,0,,
172,65,2024-08-07,Online,Tops,19.16,20,0,,
173,65,2024-06-17,Store,Dresses,158.65,0,0,,
174,66,2024-11-19,Online,Shoes,72.14,10,1,2,2024-11-21
175,67,2024-03-22,Store,Accessories,92.76,10,0,,
176,67,2024-12-09,Online,Accessories,11.09,0,0,,
177,68,2024-07-17,Online,Accessories,83.83,0,0,,
178,68,2024-10-31,Online,Accessories,53.18,0,0,,
179,68,2024-12-20,Online,Shoes,127.7,0,0,,
180,68,2024-01-03,Online,Tops,108.63,0,1,22,2024-01-25
181,69,2024-08-08,Online,Tops,38.31,0,0,,
182,69,2024-10-26,Online,Accessories,155.33,10,1,6,2024-11-01
183,69,2024-12-29,Store,Dresses,166.25,0,1,3,2025-01-01
184,69,2024-12-01,Online,Tops,191.39,10,0,,
185,69,2024-02-20,Online,Dresses,101.04,0,0,,
186,70,2024-02-21,Online,Dresses,162.57,0,0,,
187,70,2024-05-23,Online,Shoes,146.07,0,0,,
188,70,2024-05-11,Store,Shoes,44.42,10,0,,
189,70,2024-03-14,Store,Accessories,144.72,0,0,,
190,70,2024-10-24,Store,Tops,101.87,10,0,,
191,71,2024-06-20,Online,Shoes,31.34,0,1,19,2024-07-09
192,72,2024-08-01,Online,Shoes,50.29,10,0,,
193,72,2024-04-30,Store,Tops,156.29,0,0,,
194,72,2024-12-12,Store,Shoes,149.07,10,0,,
195,72,2024-06-15,Online,Shoes,155.66,0,0,,
196,72,2024-08-29,Online,Dresses,150.01,10,1,4,2024-09-02
197,73,2024-05-29,Online,Accessories,53.75,0,0,,
198,73,2024-01-11,Online,Shoes,130.08,0,1,5,2024-01-16
199,73,2024-09-14,Online,Accessories,142.08,0,1,26,2024-10-10
200,73,2024-05-04,Store,Dresses,13.01,0,0,,
201,73,2024-10-28,Online,Shoes,74.07,20,0,,
202,74,2024-02-05,Online,Dresses,123.19,0,0,,
203,74,2024-12-18,Online,Dresses,127.26,0,0,,
204,74,2024-11-11,Online,Dresses,23.29,10,0,,
205,74,2024-09-20,Store,Shoes,139.23,0,0,,
206,74,2024-02-27,Online,Shoes,19.94,0,0,,
207,75,2024-10-17,Store,Shoes,73.38,0,0,,
208,76,2024-02-05,Store,Dresses,141.1,0,0,,
209,76,2024-07-26,Online,Shoes,95.57,10,0,,
210,77,2024-05-15,Store,Tops,82.68,0,1,18,2024-06-02
211,78,2024-04-13,Online,Tops,186.13,0,0,,
212,78,2024-04-30,Online,Tops,128.48,0,0,,
213,78,2024-08-18,Store,Dresses,166.95,10,0,,
214,79,2024-05-21,Online,Accessories,59.99,0,0,,
215,79,2024-12-06,Online,Dresses,115.22,0,1,22,2024-12-28
216,80,2024-07-08,Online,Tops,175.93,0,1,7,2024-07-15
217,80,2024-05-22,Store,Dresses,84.3,0,1,1,2024-05-23
218,80,2024-02-18,Online,Shoes,129.31,10,0,,
219,80,2024-06-06,Store,Accessories,160.11,0,0,,
220,81,2024-06-11,Online,Shoes,52.49,20,0,,
221,82,2024-09-12,Store,Shoes,35.18,10,1,4,2024-09-16
